 | 64   | Flareon            |  2.17715% | 4148   |  2.177% | 3255   |  2.155% | 
 | 65   | Kadabra            |  2.08373% | 3970   |  2.084% | 2809   |  1.860% | 
 | 66   | Leafeon            |  2.06483% | 3934   |  2.065% | 3114   |  2.062% | 
 | 67   | Togetic            |  2.05696% | 3919   |  2.057% | 3117   |  2.064% | 
 | 68   | Ninetales          |  1.99765% | 3806   |  1.998% | 2990   |  1.979% | 
 | 69   | Chatot             |  1.99765% | 3806   |  1.998% | 2993   |  1.981% | 
 | 70   | Ninjask            |  1.95723% | 3729   |  1.957% | 3323   |  2.200% | 
 | 71   | Gourgeist-Super    |  1.85856% | 3541   |  1.859% | 2875   |  1.903% | 
 | 72   | Lapras             |  1.80975% | 3448   |  1.810% | 2710   |  1.794% | 
 | 73   | Pawniard           |  1.80502% | 3439   |  1.805% | 2645   |  1.751% | 
 | 74   | Haunter            |  1.78665% | 3404   |  1.787% | 2621   |  1.735% | 
 | 75   | Raichu             |  1.77773% | 3387   |  1.778% | 2631   |  1.742% | 
 | 76   | Poliwrath          |  1.65491% | 3153   |  1.655% | 2581   |  1.709% | 
 | 77   | Ditto              |  1.64599% | 3136   |  1.646% | 2367   |  1.567% | 
 | 78   | Barbaracle         |  1.60820% | 3064   |  1.608% | 2268   |  1.501% | 
 | 79   | Pikachu            |  1.59298% | 3035   |  1.593% | 2282   |  1.511% | 
 | 80   | Meowstic           |  1.53209% | 2919   |  1.532% | 2430   |  1.609% | 
 | 81   | Avalugg            |  1.52737% | 2910   |  1.527% | 2191   |  1.450% | 
 | 82   | Tauros             |  1.51687% | 2890   |  1.517% | 2209   |  1.462% | 
 | 83   | Articuno           |  1.49587% | 2850   |  1.496% | 2145   |  1.420% | 
 | 84   | Drifblim           |  1.49325% | 2845   |  1.493% | 2257   |  1.494% | 
 | 85   | Slaking            |  1.47435% | 2809   |  1.474% | 2233   |  1.478% | 
 | 86   | Floatzel           |  1.45389% | 2770   |  1.454% | 2183   |  1.445% | 
 | 87   | Arbok              |  1.44864% | 2760   |  1.449% | 2051   |  1.358% | 
 | 88   | Sneasel            |  1.44339% | 2750   |  1.443% | 2150   |  1.423% | 
 | 89   | Rapidash           |  1.41557% | 2697   |  1.416% | 2112   |  1.398% | 
 | 90   | Torterra           |  1.39143% | 2651   |  1.391% | 2155   |  1.427% | 
 | 91   | Leavanny           |  1.38408% | 2637   |  1.384% | 2349   |  1.555% | 
 | 92   | Persian            |  1.35311% | 2578   |  1.353% | 2286   |  1.513% | 
 | 93   | Marowak            |  1.34419% | 2561   |  1.344% | 2065   |  1.367% | 
 | 94   | Tangela            |  1.29433% | 2466   |  1.294% | 2013   |  1.333% | 
 | 95   | Ursaring           |  1.28698% | 2452   |  1.287% | 1800   |  1.192% | 
 | 96   | Electrode          |  1.27648% | 2432   |  1.276% | 2009   |  1.330% | 
 | 97   | Regice             |  1.25391% | 2389   |  1.254% | 1730   |  1.145% | 
 | 98   | Ariados            |  1.23921% | 2361   |  1.239% | 2083   |  1.379% | 
 | 99   | Lickilicky         |  1.22714% | 2338   |  1.227% | 1808   |  1.197% | 
 | 100  | Meganium           |  1.22399% | 2332   |  1.224% | 1850   |  1.225% | 
 | 101  | Throh              |  1.20667% | 2299   |  1.207% | 1860   |  1.231% | 
 | 102  | Swoobat            |  1.20247% | 2291   |  1.202% | 1703   |  1.127% | 
 | 103  | Mr. Mime           |  1.18988% | 2267   |  1.190% | 1723   |  1.141% | 
 | 104  | Linoone            |  1.18725% | 2262   |  1.187% | 1649   |  1.092% | 
 | 105  | Kingler            |  1.18568% | 2259   |  1.186% | 1763   |  1.167% | 
 | 106  | Stoutland          |  1.17413% | 2237   |  1.174% | 1748   |  1.157% | 
 | 107  | Golem              |  1.12322% | 2140   |  1.123% | 1849   |  1.224% | 
 | 108  | Carracosta         |  1.09225% | 2081   |  1.092% | 1662   |  1.100% | 
 | 109  | Shedinja           |  1.06916% | 2037   |  1.069% | 1440   |  0.953% | 
 | 110  | Furfrou            |  1.06653% | 2032   |  1.067% | 1576   |  1.043% | 
 | 111  | Luxray             |  1.04816% | 1997   |  1.048% | 1525   |  1.010% | 
 | 112  | Basculin           |  1.03452% | 1971   |  1.035% | 1512   |  1.001% | 
 | 113  | Rampardos          |  1.02087% | 1945   |  1.021% | 1414   |  0.936% | 
 | 114  | Aurorus            |  1.00617% | 1917   |  1.006% | 1455   |  0.963% | 
 | 115  | Gogoat             |  1.00512% | 1915   |  1.005% | 1428   |  0.945% | 
